# Monte Carlo simulation results
# System: H(Heisenberg) I(Ising) 
# Lattice: 8³
# Columns: T Energy/spin Magnetization |Magnetization| SpecificHeat Susceptibility AcceptanceRate Mag[H] Mag[I]
1.20000000   -2.30350537   -0.18963982    1.00000000    0.00080660     0.00023016      28.064851     0.62061295    -0.99989258
1.10000000   -2.38030703   -0.16540172    1.00000000    0.00070252     0.00018892      26.485088     0.66915750    -0.99996094
1.00000000   -2.45341131   -0.14251667    1.00000000    0.00068682     0.00015140      24.932908     0.71493736    -0.99997070
0.90000000   -2.51832774   -0.12383114    1.00000000    0.00067652     0.00015548      23.389500     0.75233771    -1.00000000
0.80000000   -2.57858321   -0.10529859    1.00000000    0.00063876     0.00010918      21.834275     0.78940282    -1.00000000
0.70000000   -2.63803792   -0.08986652    1.00000000    0.00049041     0.00009983      20.189893     0.82026696    -1.00000000
0.60000000   -2.69293139   -0.07526908    1.00000000    0.00048625     0.00006632      18.483357     0.84946185    -1.00000000
0.50000000   -2.74732137   -0.06249648    1.00000000    0.00053494     0.00009983      16.651421     0.87500704    -1.00000000
0.40000000   -2.79989238   -0.04794310    1.00000000    0.00049308     0.00003757      14.680254     0.90411381    -1.00000000
0.30000000   -2.84999805   -0.03700024    1.00000000    0.00051558     0.00005292      12.506440     0.92599952    -1.00000000
0.20000000   -2.90083315   -0.02570300    1.00000000    0.00044669     0.00006344      10.038076     0.94859401    -1.00000000
